27/06/2020	14:30	VfL Wolfsburg	-	Bayern München	0:4 (0:2)	
	14:30	FC Augsburg	-	RB Leipzig	1:2 (0:1)	
	14:30	Borussia Dortmund	-	1899 Hoffenheim	0:4 (0:2)	
	14:30	1. FC Union Berlin	-	Fortuna Düsseldorf	3:0 (1:0)	
	14:30	Bor. Mönchengladbach	-	Hertha BSC	2:1 (1:0)	
	14:30	Bayer Leverkusen	-	1. FSV Mainz 05	1:0 (1:0)	
	14:30	SC Freiburg	-	FC Schalke 04	4:0 (2:0)	
	14:30	Werder Bremen	-	1. FC Köln	6:1 (3:0)	
	14:30	Eintracht Frankfurt	-	SC Paderborn 07	3:2 (2:0)	
1		Bayern München	34	26	4	4	100:32	68	82
2		Borussia Dortmund	34	21	6	7	84:41	43	69
3		RB Leipzig	34	18	12	4	81:37	44	66
4		Bor. Mönchengladbach	34	20	5	9	66:40	26	65
5		Bayer Leverkusen	34	19	6	9	61:44	17	63
6		1899 Hoffenheim	34	15	7	12	53:53	0	52
7		VfL Wolfsburg	34	13	10	11	48:46	2	49
8		SC Freiburg	34	13	9	12	48:47	1	48
9		Eintracht Frankfurt	34	13	6	15	59:60	-1	45
10		Hertha BSC	34	11	8	15	48:59	-11	41
11		1. FC Union Berlin	34	12	5	17	41:58	-17	41
12		FC Schalke 04	34	9	12	13	38:58	-20	39
13		1. FSV Mainz 05	34	11	4	19	44:65	-21	37
14		1. FC Köln	34	10	6	18	51:69	-18	36
15		FC Augsburg	34	9	9	16	45:63	-18	36
16		Werder Bremen	34	8	7	19	42:69	-27	31
17		Fortuna Düsseldorf	34	6	12	16	36:67	-31	30
18		SC Paderborn 07	34	4	8	22	37:74	-37	20
