21/05/1977	14:30	Hamburger SV	-	VfL Bochum	5:1 (2:0)	
	14:30	Karlsruher SC	-	MSV Duisburg	2:1 (1:0)	
	14:30	Bayern München	-	Bor. Mönchengladbach	2:2 (1:2)	
	14:30	TeBe Berlin	-	1. FC Kaiserslautern	4:2 (1:0)	
	14:30	1. FC Köln	-	Werder Bremen	3:0 (2:0)	
	14:30	FC Schalke 04	-	Borussia Dortmund	4:2 (2:0)	
	14:30	Eintracht Braunschweig	-	Rot-Weiss Essen	6:0 (1:0)	
	14:30	1. FC Saarbrücken	-	Hertha BSC	1:1 (1:1)	
	14:30	Fortuna Düsseldorf	-	Eintracht Frankfurt	1:2 (0:1)	
1		Bor. Mönchengladbach	34	17	10	7	58:34	24	44:24
2		FC Schalke 04	34	17	9	8	77:52	25	43:25
3		Eintracht Braunschweig	34	15	13	6	56:38	18	43:25
4		Eintracht Frankfurt	34	17	8	9	86:57	29	42:26
5		1. FC Köln	34	17	6	11	83:61	22	40:28
6		Hamburger SV	34	14	10	10	67:56	11	38:30
7		Bayern München	34	14	9	11	74:65	9	37:31
8		Borussia Dortmund	34	12	10	12	73:64	9	34:34
9		MSV Duisburg	34	11	12	11	60:51	9	34:34
10		Hertha BSC	34	13	8	13	55:54	1	34:34
11		Werder Bremen	34	13	7	14	51:59	-8	33:35
12		Fortuna Düsseldorf	34	11	9	14	52:54	-2	31:37
13		1. FC Kaiserslautern	34	12	5	17	53:59	-6	29:39
14		1. FC Saarbrücken	34	9	11	14	43:55	-12	29:39
15		VfL Bochum	34	11	7	16	47:62	-15	29:39
16		Karlsruher SC	34	9	10	15	53:75	-22	28:40
17		TeBe Berlin	34	6	10	18	47:85	-38	22:46
18		Rot-Weiss Essen	34	7	8	19	49:103	-54	22:46
