31/05/1980	14:30	VfL Bochum	-	Werder Bremen	5:2 (2:1)	
	14:30	Bor. Mönchengladbach	-	SV Bayer 04 Leverkusen	4:2 (2:0)	
	14:30	Bayern München	-	Eintracht Braunschweig	2:1 (1:0)	
	14:30	Hertha BSC	-	VfB Stuttgart	4:2 (3:1)	
	14:30	MSV Duisburg	-	Fortuna Düsseldorf	0:2 (0:0)	
	14:30	1. FC Kaiserslautern	-	Borussia Dortmund	2:2 (0:1)	
	14:30	Eintracht Frankfurt	-	TSV 1860 München	1:1 (1:0)	
	14:30	1. FC Köln	-	Bayer 05 Uerdingen	1:0 (1:0)	
	14:30	Hamburger SV	-	FC Schalke 04	4:0 (2:0)	
1		Bayern München	34	22	6	6	84:33	51	50:18
2		Hamburger SV	34	20	8	6	86:35	51	48:20
3		1. FC Kaiserslautern	34	18	5	11	75:53	22	41:27
		VfB Stuttgart	34	17	7	10	75:53	22	41:27
5		1. FC Köln	34	14	9	11	72:55	17	37:31
6		Borussia Dortmund	34	14	8	12	64:56	8	36:32
7		Bor. Mönchengladbach	34	12	12	10	61:60	1	36:32
8		FC Schalke 04	34	12	9	13	40:51	-11	33:35
9		Eintracht Frankfurt	34	15	2	17	65:61	4	32:36
10		VfL Bochum	34	13	6	15	41:44	-3	32:36
11		Fortuna Düsseldorf	34	13	6	15	62:72	-10	32:36
12		SV Bayer 04 Leverkusen	34	12	8	14	45:61	-16	32:36
13		TSV 1860 München	34	10	10	14	42:53	-11	30:38
14		MSV Duisburg	34	11	7	16	43:57	-14	29:39
15		Bayer 05 Uerdingen	34	12	5	17	43:61	-18	29:39
16		Hertha BSC	34	11	7	16	41:61	-20	29:39
17		Werder Bremen	34	11	3	20	52:93	-41	25:43
18		Eintracht Braunschweig	34	6	8	20	32:64	-32	20:48
