17/06/1995	14:30	Bayer Leverkusen	-	Dynamo Dresden	2:2 (1:0)	
	14:30	Eintracht Frankfurt	-	TSV 1860 München	3:1 (2:0)	
	14:30	Borussia Dortmund	-	Hamburger SV	2:0 (2:0)	
	14:30	VfB Stuttgart	-	MSV Duisburg	3:1 (1:0)	
	14:30	Bayer 05 Uerdingen	-	Bor. Mönchengladbach	3:2 (2:0)	
	14:30	FC Schalke 04	-	SC Freiburg	1:2 (1:1)	
	14:30	Karlsruher SC	-	VfL Bochum	2:2 (0:1)	
	14:30	Bayern München	-	Werder Bremen	3:1 (2:1)	
	14:30	1. FC Kaiserslautern	-	1. FC Köln	3:1 (1:0)	
1		Borussia Dortmund	34	20	9	5	67:33	34	49:19
2		Werder Bremen	34	20	8	6	70:39	31	48:20
3		SC Freiburg	34	20	6	8	66:44	22	46:22
4		1. FC Kaiserslautern	34	17	12	5	58:41	17	46:22
5		Bor. Mönchengladbach	34	17	9	8	66:41	25	43:25
6		Bayern München	34	15	13	6	55:41	14	43:25
7		Bayer Leverkusen	34	13	10	11	62:51	11	36:32
8		Karlsruher SC	34	11	14	9	51:47	4	36:32
9		Eintracht Frankfurt	34	12	9	13	41:49	-8	33:35
10		1. FC Köln	34	11	10	13	54:54	0	32:36
11		FC Schalke 04	34	10	11	13	48:54	-6	31:37
12		VfB Stuttgart	34	10	10	14	52:66	-14	30:38
13		Hamburger SV	34	10	9	15	43:50	-7	29:39
14		TSV 1860 München	34	8	11	15	41:57	-16	27:41
15		Bayer 05 Uerdingen	34	7	11	16	37:52	-15	25:43
16		VfL Bochum	34	9	4	21	43:67	-24	22:46
17		MSV Duisburg	34	6	8	20	31:64	-33	20:48
18		Dynamo Dresden	34	4	8	22	33:68	-35	16:52
