12/06/1976	14:30	Bor. Mönchengladbach	-	1. FC Köln	2:1 (2:0)	
	14:30	Bayern München	-	Hertha BSC	7:4 (6:0)	
	14:30	Hannover 96	-	Kickers Offenbach	4:0 (1:0)	
	14:30	Eintracht Frankfurt	-	Eintracht Braunschweig	6:1 (3:0)	
	14:30	1. FC Kaiserslautern	-	FC Schalke 04	1:3 (0:0)	
	14:30	VfL Bochum	-	Karlsruher SC	4:2 (2:0)	
	14:30	Hamburger SV	-	Fortuna Düsseldorf	3:1 (1:1)	
	14:30	Rot-Weiss Essen	-	Werder Bremen	2:0 (1:0)	
	14:30	MSV Duisburg	-	Bayer 05 Uerdingen	2:0 (2:0)	
1		Bor. Mönchengladbach	34	16	13	5	66:37	29	45:23
2		Hamburger SV	34	17	7	10	59:32	27	41:27
3		Bayern München	34	15	10	9	72:50	22	40:28
4		1. FC Köln	34	14	11	9	62:45	17	39:29
5		Eintracht Braunschweig	34	14	11	9	52:48	4	39:29
6		FC Schalke 04	34	13	11	10	76:55	21	37:31
7		1. FC Kaiserslautern	34	15	7	12	66:60	6	37:31
8		Rot-Weiss Essen	34	13	11	10	61:67	-6	37:31
9		Eintracht Frankfurt	34	13	10	11	79:58	21	36:32
10		MSV Duisburg	34	13	7	14	55:62	-7	33:35
11		Hertha BSC	34	11	10	13	59:61	-2	32:36
12		Fortuna Düsseldorf	34	10	10	14	47:57	-10	30:38
13		Werder Bremen	34	11	8	15	44:55	-11	30:38
14		VfL Bochum	34	12	6	16	49:62	-13	30:38
15		Karlsruher SC	34	12	6	16	46:59	-13	30:38
16		Hannover 96	34	9	9	16	48:60	-12	27:41
17		Kickers Offenbach	34	9	9	16	40:72	-32	27:41
18		Bayer 05 Uerdingen	34	6	10	18	28:69	-41	22:46
