08/04/2016	19:30	Hertha BSC	-	Hannover 96	2:2 (1:1)	
09/04/2016	14:30	VfB Stuttgart	-	Bayern München	1:3 (0:1)	
	14:30	FC Ingolstadt 04	-	Bor. Mönchengladbach	1:0 (0:0)	
	14:30	Werder Bremen	-	FC Augsburg	1:2 (1:0)	
	14:30	Eintracht Frankfurt	-	1899 Hoffenheim	0:2 (0:0)	
	14:30	Hamburger SV	-	SV Darmstadt 98	1:2 (0:1)	
	17:30	VfL Wolfsburg	-	1. FSV Mainz 05	1:1 (0:0)	
10/04/2016	14:30	FC Schalke 04	-	Borussia Dortmund	2:2 (0:0)	
	16:30	1. FC Köln	-	Bayer Leverkusen	0:2 (0:2)	
1		Bayern München	29	24	3	2	69:14	55	75
2		Borussia Dortmund	29	21	5	3	69:30	39	68
3		Hertha BSC	29	14	7	8	39:34	5	49
4		Bayer Leverkusen	29	14	6	9	44:33	11	48
5		Bor. Mönchengladbach	29	14	3	12	59:45	14	45
6		1. FSV Mainz 05	29	13	6	10	40:36	4	45
7		FC Schalke 04	29	13	6	10	41:40	1	45
8		VfL Wolfsburg	29	10	9	10	40:38	2	39
9		FC Ingolstadt 04	29	10	9	10	27:31	-4	39
10		Hamburger SV	29	9	7	13	35:40	-5	34
11		1. FC Köln	29	8	10	11	29:37	-8	34
12		VfB Stuttgart	29	9	6	14	46:59	-13	33
13		SV Darmstadt 98	29	7	11	11	32:44	-12	32
14		1899 Hoffenheim	29	7	10	12	33:44	-11	31
15		FC Augsburg	29	7	9	13	37:48	-11	30
16		Werder Bremen	29	7	7	15	39:59	-20	28
17		Eintracht Frankfurt	29	6	9	14	29:46	-17	27
18		Hannover 96	29	5	3	21	24:54	-30	18
