16/05/1992	14:30	Stuttgarter Kickers	-	VfL Bochum	2:0 (0:0)	
	14:30	SG Wattenscheid 09	-	Bor. Mönchengladbach	3:2 (1:2)	
	14:30	MSV Duisburg	-	Borussia Dortmund	0:1 (0:1)	
	14:30	Karlsruher SC	-	Bayern München	3:0 (0:0)	
	14:30	Werder Bremen	-	1. FC Nürnberg	1:3 (1:0)	
	14:30	Hansa Rostock	-	Eintracht Frankfurt	2:1 (0:0)	
	14:30	Fortuna Düsseldorf	-	Hamburger SV	1:0 (0:0)	
	14:30	FC Schalke 04	-	1. FC Kaiserslautern	2:0 (1:0)	
	14:30	Dynamo Dresden	-	1. FC Köln	0:0 (0:0)	
	14:30	Bayer Leverkusen	-	VfB Stuttgart	1:2 (1:1)	
1		VfB Stuttgart	38	21	10	7	62:32	30	52:24
2		Borussia Dortmund	38	20	12	6	66:47	19	52:24
3		Eintracht Frankfurt	38	18	14	6	76:41	35	50:26
4		1. FC Köln	38	13	18	7	58:41	17	44:32
5		1. FC Kaiserslautern	38	17	10	11	58:42	16	44:32
6		Bayer Leverkusen	38	15	13	10	53:39	14	43:33
7		1. FC Nürnberg	38	18	7	13	54:51	3	43:33
8		Karlsruher SC	38	16	9	13	48:50	-2	41:35
9		Werder Bremen	38	11	16	11	44:45	-1	38:38
10		Bayern München	38	13	10	15	59:61	-2	36:40
11		FC Schalke 04	38	11	12	15	45:45	0	34:42
12		Hamburger SV	38	9	16	13	32:43	-11	34:42
13		Bor. Mönchengladbach	38	10	14	14	37:49	-12	34:42
14		Dynamo Dresden	38	12	10	16	34:50	-16	34:42
15		VfL Bochum	38	10	13	15	38:55	-17	33:43
16		SG Wattenscheid 09	38	9	14	15	50:60	-10	32:44
17		Stuttgarter Kickers	38	10	11	17	53:64	-11	31:45
18		Hansa Rostock	38	10	11	17	43:55	-12	31:45
19		MSV Duisburg	38	7	16	15	43:55	-12	30:46
20		Fortuna Düsseldorf	38	6	12	20	41:69	-28	24:52
