07/06/1969	14:30	Werder Bremen	-	Bor. Mönchengladbach	6:5 (4:3)	
	14:30	1. FC Köln	-	1. FC Nürnberg	3:0 (0:0)	
	14:30	Hertha BSC	-	Alemannia Aachen	0:1 (0:1)	
	14:30	MSV Duisburg	-	Hamburger SV	0:0 (0:0)	
	14:30	Eintracht Frankfurt	-	FC Schalke 04	1:0 (0:0)	
	14:30	Eintracht Braunschweig	-	TSV 1860 München	2:1 (1:1)	
	14:30	Bayern München	-	Hannover 96	2:1 (1:1)	
	14:30	VfB Stuttgart	-	1. FC Kaiserslautern	4:3 (2:1)	
	14:30	Borussia Dortmund	-	Kickers Offenbach	3:0 (2:0)	
1		Bayern München	34	18	10	6	61:31	30	46:22
2		Alemannia Aachen	34	16	6	12	57:51	6	38:30
3		Bor. Mönchengladbach	34	13	11	10	61:46	15	37:31
4		Eintracht Braunschweig	34	13	11	10	46:43	3	37:31
5		VfB Stuttgart	34	14	8	12	60:54	6	36:32
6		Hamburger SV	34	13	10	11	55:55	0	36:32
7		FC Schalke 04	34	14	7	13	45:40	5	35:33
8		Eintracht Frankfurt	34	13	8	13	46:43	3	34:34
9		Werder Bremen	34	14	6	14	59:59	0	34:34
10		TSV 1860 München	34	15	4	15	44:59	-15	34:34
11		Hannover 96	34	9	14	11	47:45	2	32:36
12		MSV Duisburg	34	8	16	10	33:37	-4	32:36
13		Hertha BSC	34	12	8	14	31:39	-8	32:36
14		1. FC Köln	34	13	6	15	47:56	-9	32:36
15		1. FC Kaiserslautern	34	12	6	16	45:47	-2	30:38
16		Borussia Dortmund	34	11	8	15	49:54	-5	30:38
17		1. FC Nürnberg	34	9	11	14	45:55	-10	29:39
18		Kickers Offenbach	34	10	8	16	42:59	-17	28:40
