05/06/1971	14:30	Hertha BSC	-	Arminia Bielefeld	0:1 (0:0)	
	14:30	Eintracht Frankfurt	-	Bor. Mönchengladbach	1:4 (1:1)	
	14:30	Borussia Dortmund	-	Hannover 96	2:2 (2:1)	
	14:30	MSV Duisburg	-	Bayern München	2:0 (0:0)	
	14:30	Werder Bremen	-	FC Schalke 04	0:1 (0:0)	
	14:30	Rot-Weiss Essen	-	Hamburger SV	1:3 (0:0)	
	14:30	Eintracht Braunschweig	-	Rot-Weiß Oberhausen	1:1 (1:0)	
	14:30	VfB Stuttgart	-	1. FC Kaiserslautern	2:0 (1:0)	
	14:30	1. FC Köln	-	Kickers Offenbach	4:2 (1:2)	
1		Bor. Mönchengladbach	34	20	10	4	77:35	42	50:18
2		Bayern München	34	19	10	5	74:36	38	48:20
3		Hertha BSC	34	16	9	9	61:43	18	41:27
4		Eintracht Braunschweig	34	16	7	11	52:40	12	39:29
5		Hamburger SV	34	13	11	10	54:63	-9	37:31
6		FC Schalke 04	34	15	6	13	44:40	4	36:32
7		MSV Duisburg	34	12	11	11	43:47	-4	35:33
8		1. FC Kaiserslautern	34	15	4	15	54:57	-3	34:34
9		Hannover 96	34	12	9	13	53:49	4	33:35
10		Werder Bremen	34	11	11	12	41:40	1	33:35
11		1. FC Köln	34	11	11	12	46:56	-10	33:35
12		VfB Stuttgart	34	11	8	15	49:49	0	30:38
13		Borussia Dortmund	34	10	9	15	54:60	-6	29:39
14		Arminia Bielefeld	34	12	5	17	34:53	-19	29:39
15		Eintracht Frankfurt	34	11	6	17	39:56	-17	28:40
16		Rot-Weiß Oberhausen	34	9	9	16	54:69	-15	27:41
17		Kickers Offenbach	34	9	9	16	49:65	-16	27:41
18		Rot-Weiss Essen	34	7	9	18	48:68	-20	23:45
