15/05/2004	14:30	Hannover 96	-	VfL Wolfsburg	0:0 (0:0)	
	14:30	FC Schalke 04	-	1. FC Kaiserslautern	4:1 (3:0)	
	14:30	Borussia Dortmund	-	Bor. Mönchengladbach	3:1 (2:1)	
	14:30	TSV 1860 München	-	Hertha BSC	1:1 (1:0)	
	14:30	1. FC Köln	-	Hansa Rostock	4:0 (1:0)	
	14:30	Werder Bremen	-	Bayer Leverkusen	2:6 (0:3)	
	14:30	VfB Stuttgart	-	Bayern München	3:1 (1:0)	
	14:30	SC Freiburg	-	Hamburger SV	0:0 (0:0)	
	14:30	Eintracht Frankfurt	-	VfL Bochum	3:2 (2:1)	
1		Werder Bremen	33	22	8	3	78:35	43	74
2		Bayern München	33	19	8	6	68:39	29	65
3		VfB Stuttgart	33	18	10	5	52:22	30	64
4		Bayer Leverkusen	33	18	8	7	71:39	32	62
5		Borussia Dortmund	33	16	6	11	58:47	11	54
6		VfL Bochum	33	14	11	8	54:38	16	53
7		FC Schalke 04	33	13	10	10	48:41	7	49
8		Hamburger SV	33	13	7	13	45:59	-14	46
9		Hansa Rostock	33	11	8	14	52:53	-1	41
10		VfL Wolfsburg	33	13	2	18	55:60	-5	41
11		SC Freiburg	33	10	8	15	42:65	-23	38
12		Hannover 96	33	9	10	14	48:60	-12	37
13		Bor. Mönchengladbach	33	9	9	15	37:48	-11	36
14		Hertha BSC	33	8	12	13	39:58	-19	36
15		1. FC Kaiserslautern	33	11	5	17	38:61	-23	35
16		Eintracht Frankfurt	33	9	5	19	35:51	-16	32
17		TSV 1860 München	33	8	8	17	31:52	-21	32
18		1. FC Köln	33	6	5	22	31:54	-23	23
